,user,id,date,hashtags,text,data
51,DailyMail,1302219412892721152,2020-09-05 15:17:56+00:00,,three dead 147 infected coronavirus outbreak maine wedding,Three are dead and 147 infected after a coronavirus outbreak at a Maine wedding
52,hedwig_lee,1302219397331906560,2020-09-05 15:17:53+00:00,,new orleans hospitals sent patients infected coronavirus hospice facilities back families die home cases discontinuing treatment even relatives begged keep trying,In New Orleans hospitals sent patients infected with the coronavirus into hospice facilities or back to their families to die at home in some cases discontinuing treatment even as relatives begged them to keep trying
53,PostBoro,1302219360610725888,2020-09-05 15:17:44+00:00,#coronavirus #SocialDistance,vaccine ready right way minimize direct contact spreads coronavirus via nose eyes use bostapp instead communicate safely people nearby socialdistance free apple amp google,Before a vaccine is ready the right way is Minimize direct contact that spreads coronavirus via Nose and Eyes use BostApp instead to communicate safely with people nearby with SocialDistance free from Apple amp Google
54,nickbee1981,1302219351626526720,2020-09-05 15:17:42+00:00,,bbc news coronavirus tests could picking dead virus bbc news coronavirus tests could picking dead virus bbcnews seriously pushing idea covid overblown anyway,BBC News Coronavirus Tests could be picking up dead virus BBC News Coronavirus Tests could be picking up dead virus BBCNews are seriously pushing the idea that covid is over and all overblown anyway
55,Macerty,1302219342172639232,2020-09-05 15:17:39+00:00,,heres source dead remains coronavirus bacteria previously affected individuals amplified tests flagged testing positive case people told selfisolate unnecessarily,Heres the source about dead remains of Coronavirus bacteria in previously affected individuals being amplified in tests and being flagged up as testing positive If this is the case then some people are being told to selfisolate unnecessarily
57,LyndaRVA_UAP,1302219323000393728,2020-09-05 15:17:35+00:00,,roommates mistakenly sent vcu isolation dorm say nerveracking experience coronavirus,Roommates mistakenly sent to VCU isolation dorm say its a nerveracking experience Coronavirus
58,NickBollockov,1302219307196338176,2020-09-05 15:17:31+00:00,,estimating coronavirus pandemic tests could picking dead virus,Over estimating the Coronavirus pandemic Tests could be picking up dead virus
59,BobbyCoolMusiQ,1302219292893753344,2020-09-05 15:17:28+00:00,,people catch corona virus simply gathering stupid,Do people catch corona virus by simply gathering or what Stupid
60,Jay98979075,1302219278045843456,2020-09-05 15:17:24+00:00,,would never lost many jobs first place trump took coronavirus seriously dont say banned flights ching didnt banned flights wuhan china claiming covid hoax downplaying severity virus,We would of never lost as many jobs in the first place had trump took the coronavirus seriously Dont say he banned flights from Ching because he didnt he only banned flights from Wuhan China All while claiming covid was a hoax and downplaying the severity of the virus
61,kthopkinson,1302219256122269696,2020-09-05 15:17:19+00:00,,coronavirus tests could picking dead virus bbc news,Coronavirus Tests could be picking up dead virus BBC News
62,QldProgressive,1302219252145905664,2020-09-05 15:17:18+00:00,,coronavirus found sewage apollo bay victoria despite known cases,Coronavirus found in sewage in Apollo Bay Victoria despite no known cases
63,will_farquhar,1302219231245684736,2020-09-05 15:17:13+00:00,#COVID19 #coronavirus #pandemic #COVID #CoronaVirusUpdates,hows everyone weve 6 months covid19 26 million cases worldwide need good news need vaccine pharma companies arent going make killing excuse pun covid19 coronavirus pandemic covid19 coronavirusupdates,Hows everyone doing Weve had 6 months COVID19 there are now 26 million cases worldwide We need some good news we need a vaccine that Pharma companies arent going to make a killing Excuse the pun COVID19 coronavirus pandemic COVID19 CoronaVirusUpdates
65,PinkyLee19,1302219220382625792,2020-09-05 15:17:10+00:00,#Staycation2020,holidaying coronavirus pandemic north wiltshire cheddar gorge cotswolds heres got base thebarleycornuk staycation2020,Holidaying in the Coronavirus pandemic North Wiltshire Cheddar Gorge and The Cotswolds heres what I got up to from my base at TheBarleycornUK Staycation2020
66,AJOG_thegray,1302219220319698944,2020-09-05 15:17:10+00:00,,ajog images obstetrics visualization severe acute respiratory syndrome coronavirus 2 invading human placenta using electron microscopy,AJOG Images in Obstetrics Visualization of severe acute respiratory syndrome coronavirus 2 invading the human placenta using electron microscopy
67,BigBird31192728,1302219210790244352,2020-09-05 15:17:08+00:00,,lady believe sciene follows corona virus restriction rules assisting virus spreads,This lady does not believe in SCIENE does not follows Corona virus restriction rules She is assisting the virus to spreads
68,dentures_donald,1302219208135241728,2020-09-05 15:17:07+00:00,,exactly boss never lied 25 thousand documented times lied corona virus response lied strong powerful crowd size inauguration lied would never golf lied creating veterans choice fake news,Exactly Boss never lied 25 thousand documented times Or lied about his corona virus response Or lied about the very strong very powerful crowd size at the inauguration Or lied that he would never golf Or lied about creating Veterans Choice Fake News
69,kindredmurillo,1302219199344005120,2020-09-05 15:17:05+00:00,,must take seriouslyeditorial san diego state students need take coronavirus seriously,We must take this seriouslyEditorial San Diego State students need to take the coronavirus seriously
70,WiredUK,1302219199033507840,2020-09-05 15:17:05+00:00,,last parts syria still rebel control grassroots network coronavirus contact tracers battle suspicion fear keep pandemic bay,In the last parts of Syria still under rebel control a grassroots network of coronavirus contact tracers is having to battle suspicion and fear to keep the pandemic at bay
71,silverminii,1302219193803186176,2020-09-05 15:17:04+00:00,,happy christmas bts filipino fans reported endorsement deal come true wondering well celebrate countrys favorite time year entire population various degrees lockdown coronavirus pandemic,It will be a happy Christmas for BTS Filipino fans should this reported endorsement deal come true Were all wondering how well celebrate the countrys favorite time of the year with the entire population under various degrees of lockdown because of the coronavirus pandemic
72,DrEKingreen,1302219185695543296,2020-09-05 15:17:02+00:00,,hope blood help others coronavirus,I hope my blood can help others with coronavirus
73,xenosstinkriti,1302219184059961344,2020-09-05 15:17:02+00:00,,test used diagnose coronavirus sensitive could picking fragments dead virus old infections scientists say coronavirus tests could picking dead virus,test used to diagnose coronavirus is so sensitive it could be picking up fragments of dead virus from old infections scientists say Coronavirus Tests could be picking up dead virus
75,DigbyDe,1302219169497219072,2020-09-05 15:16:58+00:00,#WorstPresidentEver,race 200k deaths autumn 300k looms year end leadership turning science worstpresidentever united states coronavirus cases 6389413 deaths 192132,And the race is on for 200K deaths before autumn 300K looms by year end All with no leadership turning to science under the WorstPresidentEver United States Coronavirus Cases 6389413 Deaths 192132
76,weirdworld,1302219164065521664,2020-09-05 15:16:57+00:00,,us coronavirus death toll projected reach 410000 next 4 months mask use wanes,The US coronavirus death toll is projected to reach 410000 in the next 4 months if mask use wanes
77,TWMWrestle,1302219149196890112,2020-09-05 15:16:53+00:00,,therock got coronavirus,Then TheRock got Coronavirus
78,Asher_Wolf,1302219148651503616,2020-09-05 15:16:53+00:00,,cook islands former pm dies coronavirus new zealand,Cook Islands former PM dies of coronavirus in New Zealand
79,The_Golden_Wood,1302219145052913664,2020-09-05 15:16:52+00:00,,could charge uk governments response coronavirus next week,She could be in charge of the UK governments response to Coronavirus next week
